Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
D1;10.08.07;Stuttgart;Schalke 04;2;2;D;2.37;3.25;2.87;;;;2.3;3.18;2.92;H;0;0;0;1;0.391387174;;0.398256961;0;1;268;-268
D1;11.08.07;Bayern Munich;Hansa Rostock;3;0;H;1.16;6;19;;;;1.18;5.89;13.4;H;1;0;1;1;0.797202797;;0.776156919;3;3;267;-267
D1;11.08.07;Bochum;Werder Bremen;2;2;D;3.5;3.3;2.05;;;;3.44;3.24;1.99;H;0;0;0;1;0.265398195;;0.263826374;0;1;267;-267
D1;11.08.07;Ein Frankfurt;Hertha;1;0;H;2.37;3.2;2.9;;;;2.33;3.18;2.86;H;0;0;1;1;0.390950836;;0.392558702;1;3;267;-267
D1;11.08.07;Hannover;Hamburg;0;1;A;2.5;3.2;2.75;;;;2.55;3.17;2.6;H;0;0;0;1;0.371700106;;0.359042495;-1;0;267;-267
D1;11.08.07;Leverkusen;Cottbus;0;0;D;1.53;3.8;6;;;;1.55;3.67;5.63;H;0;0;0;1;0.60327036;;0.589048125;0;1;267;-267
D1;11.08.07;Wolfsburg;Bielefeld;1;3;A;2;3.3;3.6;;;;1.86;3.27;3.9;H;0;0;0;1;0.462616822;;0.488822961;-2;0;267;-267
D1;12.08.07;Dortmund;Duisburg;1;3;A;1.53;3.8;6;;;;1.56;3.66;5.56;H;0;0;0;1;0.60327036;;0.585889994;-2;0;266;-266
D1;12.08.07;Nurnberg;Karlsruhe;0;2;A;1.8;3.3;4.5;;;;1.79;3.31;4.26;H;0;0;0;1;0.514018692;;0.509950852;-2;0;266;-266
D1;17.08.07;Karlsruhe;Hannover;1;2;A;2.37;3.25;2.87;;;;2.36;3.23;2.81;H;0;0;0;1;0.391387174;;0.38902819;-1;0;261;-261
