Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
SP1;25.08.07;Real Madrid;Ath Madrid;2;1;H;1.72;3.5;4.75;;;;1.75;3.34;4.56;H;1;0;1;1;0.539509979;;0.524184833;1;3;253;-253
SP1;25.08.07;Sevilla;Getafe;4;1;H;1.4;4;9;;;;1.42;3.86;7.82;H;0;0;1;1;0.664206642;;0.645385582;3;3;253;-253
SP1;26.08.07;Ath Bilbao;Osasuna;0;0;D;2.05;3.2;3.6;;;;2.06;3.18;3.45;H;0;0;0;1;0.45247447;;0.445454103;0;1;252;-252
SP1;26.08.07;Espanol;Valladolid;0;1;A;1.83;3.25;4.5;;;;1.82;3.24;4.33;H;0;0;0;1;0.507680292;;0.504527702;-1;0;252;-252
SP1;26.08.07;La Coruna;Almeria;0;3;A;1.72;3.4;5;;;;1.66;3.42;5.14;H;0;0;0;1;0.540574917;;0.552994174;-3;0;252;-252
SP1;26.08.07;Mallorca;Levante;3;0;H;1.9;3.1;4.33;;;;1.85;3.23;4.16;H;0;0;1;1;0.487400145;;0.495671068;3;3;252;-252
SP1;26.08.07;Murcia;Zaragoza;2;1;H;3.4;3.2;2.15;;;;3.24;3.17;2.15;H;0;0;1;1;0.274431592;;0.283361674;1;3;252;-252
SP1;26.08.07;Recreativo;Betis;1;1;D;2.2;3.2;3.25;;;;2.2;3.15;3.15;H;0;0;0;1;0.422936153;;0.417218543;0;1;252;-252
SP1;26.08.07;Santander;Barcelona;0;0;D;7.5;4;1.44;;;;6.77;3.75;1.48;H;0;0;0;1;0.12371134;;0.135507641;0;1;252;-252
SP1;26.08.07;Valencia;Villarreal;0;3;A;1.72;3.4;5;;;;1.73;3.32;4.74;H;0;0;0;1;0.540574917;;0.530204915;-3;0;252;-252
SP1;01.09.07;Levante;Murcia;0;0;D;2.2;3.2;3.25;;;;2.2;3.17;3.15;H;0;0;0;1;0.422936153;;0.417986982;0;1;246;-246
SP1;01.09.07;Zaragoza;Santander;1;1;D;1.66;3.6;5;;;;1.73;3.34;4.74;H;0;0;0;1;0.557689924;;0.531083529;0;1;246;-246
SP1;02.09.07;Almeria;Valencia;1;2;A;3.2;3.1;2.25;;;;3.16;3.19;2.18;H;0;0;0;1;0.289479145;;0.290686106;-1;0;245;-245
SP1;02.09.07;Ath Madrid;Mallorca;1;1;D;1.72;3.4;5;;;;1.71;3.35;4.85;H;0;0;0;1;0.540574917;;0.536761427;0;1;245;-245
SP1;02.09.07;Barcelona;Ath Bilbao;3;1;H;1.16;6.5;15;;;;1.21;5.6;12.11;H;0;0;1;1;0.796308396;;0.759884856;2;3;245;-245
SP1;02.09.07;Betis;Espanol;2;2;D;2.05;3.25;3.6;;;;2.07;3.21;3.37;H;0;0;0;1;0.454501311;;0.44265354;0;1;245;-245
SP1;02.09.07;Getafe;Recreativo;1;1;D;2.1;3.25;3.4;;;;2.07;3.21;3.4;H;0;0;0;1;0.441734959;;0.44371806;0;1;245;-245
SP1;02.09.07;Valladolid;La Coruna;2;2;D;2.1;3.2;3.5;;;;2.11;3.19;3.33;H;0;0;0;1;0.443213296;;0.435715487;0;1;245;-245
SP1;02.09.07;Villarreal;Real Madrid;0;5;A;2.87;3.25;2.37;;;;2.85;3.19;2.34;H;0;0;0;1;0.323201255;;0.321402276;-5;0;245;-245
SP1;15.09.07;Ath Bilbao;Zaragoza;1;1;D;2.4;3.25;2.9;;;;2.4;3.15;2.8;H;0;0;0;1;0.389704362;;0.381818182;0;1;232;-232
SP1;15.09.07;Real Madrid;Almeria;3;1;H;1.18;6.75;15;;;;1.18;6.01;12.8;H;1;0;1;1;0.79777804;;0.776080013;2;3;232;-232
SP1;15.09.07;Valencia;Valladolid;2;1;H;1.5;4;6.75;;;;1.47;3.79;6.88;H;0;0;1;1;0.626086957;;0.624404635;1;3;232;-232
SP1;16.09.07;Espanol;Getafe;1;0;H;2.1;3.3;3.5;;;;2.05;3.19;3.47;H;0;0;1;1;0.447154472;;0.447745558;1;3;231;-231
SP1;16.09.07;La Coruna;Betis;1;0;H;2.3;3.1;3.25;;;;2.26;3.14;3.03;H;0;0;1;1;0.408225284;;0.405577533;1;3;231;-231
SP1;16.09.07;Mallorca;Villarreal;0;1;A;2.37;3.25;3;;;;2.38;3.17;2.82;H;0;0;0;1;0.396946565;;0.385392057;-1;0;231;-231
SP1;16.09.07;Murcia;Ath Madrid;1;1;D;3.1;3.25;2.3;;;;3.04;3.16;2.25;H;0;0;0;1;0.302876823;;0.301828802;0;1;231;-231
SP1;16.09.07;Osasuna;Barcelona;0;0;D;6.25;4;1.53;;;;5.92;3.59;1.56;H;0;0;0;1;0.150433233;;0.1551856;0;1;231;-231
SP1;16.09.07;Santander;Levante;1;0;H;1.9;3.3;4.2;;;;1.87;3.24;4.04;H;0;0;1;1;0.493062967;;0.490188442;1;3;231;-231
SP1;16.09.07;Sevilla;Recreativo;4;1;H;1.4;4.5;8;;;;1.42;3.91;7.32;H;0;0;1;1;0.672897196;;0.642194589;3;3;231;-231
SP1;22.09.07;Barcelona;Sevilla;2;1;H;1.66;3.75;5;;;;1.7;3.38;4.81;H;0;0;1;1;0.563486101;;0.538680221;1;3;225;-225
SP1;22.09.07;Recreativo;Espanol;2;1;H;2.37;3.25;3;;;;2.31;3.15;2.91;H;0;0;1;1;0.396946565;;0.395703019;1;3;225;-225
SP1;23.09.07;Almeria;Mallorca;1;1;D;2.37;3.25;3;;;;2.32;3.14;2.92;H;0;0;0;1;0.396946565;;0.394730498;0;1;224;-224
SP1;23.09.07;Ath Madrid;Santander;4;0;H;1.72;3.4;5.25;;;;1.72;3.3;4.9;H;0;0;1;1;0.545404547;;0.534121689;4;3;224;-224
SP1;23.09.07;Betis;Valencia;1;2;A;3;3.25;2.37;;;;2.83;3.13;2.38;H;0;0;0;1;0.313587786;;0.323286768;-1;0;224;-224
