Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
SP1;16.08.19;Ath Bilbao;Barcelona;1;0;H;5.25;3.8;1.65;5.25;3.8;1.65;5.07;3.81;1.71;H;0;0;1;1;0.179746291;0.179746291;0.188835268;1;3;335;-335
SP1;17.08.19;Celta;Real Madrid;1;3;A;4.75;4.2;1.65;5.25;4.2;1.57;4.67;4.12;1.69;H;0;0;0;1;0.199611147;0.178764589;0.204214632;-2;0;334;-334
SP1;17.08.19;Valencia;Sociedad;1;1;D;1.66;3.75;5.5;1.66;3.75;5.5;1.68;3.8;5.29;H;0;0;0;1;0.573235131;0.573235131;0.568283333;0;1;334;-334
SP1;17.08.19;Mallorca;Eibar;2;1;H;2.8;3.2;2.6;2.87;3.2;2.55;2.91;3.09;2.62;H;0;0;1;1;0.338762215;0.3308667;0.327607347;1;3;334;-334
SP1;17.08.19;Leganes;Osasuna;0;1;A;2;3.2;4.2;1.9;3.1;5;2.06;3.18;4.02;H;0;0;0;1;0.47592068;0.501780511;0.462912267;-1;0;334;-334
SP1;17.08.19;Villarreal;Granada;4;4;D;1.6;3.8;6.5;1.53;4;6.5;1.61;3.95;5.8;H;0;0;0;1;0.599805731;0.61809105;0.593408017;0;1;334;-334
SP1;18.08.19;Alaves;Levante;1;0;H;2.15;3.2;3.6;2.3;3.4;3.2;2.23;3.25;3.43;H;0;0;1;1;0.440703902;0.417498081;0.428027292;1;3;333;-333
SP1;18.08.19;Espanol;Sevilla;0;2;A;3.2;3.3;2.3;3;3.4;2.4;3.08;3.41;2.33;H;0;0;0;1;0.29753038;0.319248826;0.310066538;-2;0;333;-333
SP1;18.08.19;Betis;Valladolid;1;2;A;1.66;3.75;5.5;1.8;3.6;4.75;1.64;3.76;5.78;H;0;0;0;1;0.573235131;0.532212885;0.581426706;-1;0;333;-333
SP1;18.08.19;Ath Madrid;Getafe;1;0;H;1.44;4.33;8;1.5;4;8;1.47;4.23;7.63;H;0;0;1;1;0.661129264;0.64;0.649275485;1;3;333;-333
SP1;23.08.19;Granada;Sevilla;0;1;A;3.6;3.6;1.95;3.8;3.6;1.95;3.95;3.58;1.94;H;0;0;0;1;0.26;0.249733191;0.241578896;-1;0;328;-328
SP1;23.08.19;Levante;Villarreal;2;1;H;2.55;3.4;2.62;2.5;3.6;2.7;2.59;3.54;2.63;H;0;0;1;1;0.367203924;0.381625442;0.368130326;1;3;328;-328
SP1;24.08.19;Osasuna;Eibar;0;0;D;2.5;3.2;2.9;2.7;3.2;2.7;2.53;3.12;2.99;H;0;0;0;1;0.378312271;0.351648352;0.376357057;0;1;327;-327
SP1;24.08.19;Real Madrid;Valladolid;1;1;D;1.2;6.5;13;1.2;7;12;1.21;6.97;13.16;H;1;0;0;1;0.78313253;0.786516854;0.790172507;0;1;327;-327
SP1;24.08.19;Celta;Valencia;1;0;H;3.1;3.4;2.25;3.2;3.4;2.2;3.17;3.45;2.26;H;0;0;1;1;0.303993642;0.294488189;0.301069207;1;3;327;-327
SP1;24.08.19;Getafe;Ath Bilbao;1;1;D;2.6;3;2.9;2.5;2.9;3.3;2.61;2.94;3.06;H;0;0;0;1;0.361896839;0.381731153;0.364870784;0;1;327;-327
