Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
F1;04.08.07;Bordeaux;Lens;1;0;H;2.2;2.87;3.6;;;;2.19;2.88;3.38;H;0;0;1;1;0.420581291;;0.415222788;1;3;287;-287
F1;04.08.07;Caen;Nice;1;0;H;2.4;2.75;3;;;;2.27;2.84;3.23;H;0;0;1;1;0.37414966;;0.399667133;1;3;287;-287
F1;04.08.07;Lille;Lorient;0;0;D;1.72;3;5;;;;1.74;3.16;4.7;H;0;0;0;1;0.521557719;;0.52060403;0;1;287;-287
F1;04.08.07;Monaco;St Etienne;1;1;D;1.9;2.9;4;;;;1.9;3.03;4.05;H;0;0;0;1;0.469445569;;0.477054056;0;1;287;-287
F1;04.08.07;Paris SG;Sochaux;0;0;D;1.72;3.4;5;;;;1.72;3.21;4.83;H;0;0;0;1;0.540574917;;0.528559886;0;1;287;-287
F1;04.08.07;Rennes;Nancy;0;2;A;1.72;3.2;4.5;;;;1.79;3.1;4.49;H;0;0;0;1;0.520908696;;0.506051605;-2;0;287;-287
F1;04.08.07;Strasbourg;Marseille;0;0;D;3.5;2.87;2.25;;;;3.34;2.9;2.19;H;0;0;0;1;0.264895908;;0.271972798;0;1;287;-287
F1;04.08.07;Valenciennes;Toulouse;3;1;H;2.62;2.75;2.75;;;;2.55;2.83;2.8;H;0;0;1;1;0.344180225;;0.355647315;2;3;287;-287
F1;05.08.07;Le Mans;Metz;1;0;H;2.05;3;4;;;;1.97;2.93;3.82;H;0;0;1;1;0.45540797;;0.457025492;1;3;286;-286
F1;05.08.07;Lyon;Auxerre;2;0;H;1.4;4.33;7.5;;;;1.37;3.98;8.39;H;1;0;1;1;0.662255032;;0.663345193;2;3;286;-286
F1;11.08.07;Auxerre;Bordeaux;0;2;A;2.3;2.87;3.4;;;;2.35;2.86;3.11;H;0;0;0;1;0.403573349;;0.388002146;-2;0;280;-280
F1;11.08.07;Lorient;Monaco;2;1;H;2.6;2.87;2.87;;;;2.5;2.85;2.89;H;0;0;1;1;0.355638166;;0.364664733;1;3;280;-280
F1;11.08.07;Marseille;Rennes;0;0;D;1.57;3.5;6.5;;;;1.6;3.37;5.81;H;0;0;0;1;0.591677503;;0.571374793;0;1;280;-280
F1;11.08.07;Nancy;Caen;1;0;H;1.9;3;4;;;;1.91;3.03;4.1;H;0;0;1;1;0.4743083;;0.477049917;1;3;280;-280
F1;11.08.07;Nice;Strasbourg;1;0;H;1.95;2.87;4;;;;1.99;2.94;3.94;H;0;0;1;1;0.46147971;;0.458306297;1;3;280;-280
F1;11.08.07;Sochaux;Le Mans;1;3;A;1.95;2.87;4;;;;1.95;3;4.02;H;0;0;0;1;0.46147971;;0.468367704;-2;0;280;-280
F1;11.08.07;St Etienne;Valenciennes;3;1;H;1.83;3.1;4.75;;;;1.78;3.15;4.65;H;0;0;1;1;0.506178993;;0.513379948;2;3;280;-280
F1;11.08.07;Toulouse;Lyon;1;0;H;4.5;3.3;1.72;;;;4.3;3.14;1.83;H;0;0;1;1;0.200806623;;0.211902409;1;3;280;-280
F1;12.08.07;Lens;Paris SG;0;0;D;2.15;3;3.6;;;;2.21;2.92;3.34;H;0;0;0;1;0.432172869;;0.413474991;0;1;279;-279
F1;12.08.07;Metz;Lille;1;2;A;2.7;2.75;2.9;;;;2.55;2.85;2.84;H;0;0;0;1;0.34330607;;0.358086137;-1;0;279;-279
F1;15.08.07;Bordeaux;Le Mans;1;2;A;1.66;3.25;5;;;;1.68;3.27;5.26;H;0;0;0;1;0.542661546;;0.545508173;-1;0;276;-276
F1;15.08.07;Lille;Sochaux;1;1;D;1.9;3;4;;;;1.91;3.03;4.21;H;0;0;0;1;0.4743083;;0.479836146;0;1;276;-276
F1;15.08.07;Monaco;Metz;2;0;H;1.66;3.25;5;;;;1.67;3.26;5.36;H;0;0;1;1;0.542661546;;0.548294581;2;3;276;-276
F1;15.08.07;Paris SG;Lorient;1;3;A;1.66;3.4;5.5;;;;1.61;3.37;5.83;H;0;0;0;1;0.558642529;;0.570157085;-2;0;276;-276
F1;15.08.07;Rennes;St Etienne;1;0;H;2.1;2.87;4;;;;2.05;2.94;3.75;H;0;0;1;1;0.44312348;;0.445643606;1;3;276;-276
F1;15.08.07;Strasbourg;Auxerre;3;0;H;2.37;2.87;3;;;;2.34;2.9;3.13;H;0;0;1;1;0.382294567;;0.391465981;3;3;276;-276
F1;15.08.07;Valenciennes;Marseille;2;1;H;3.25;2.87;2.37;;;;3.19;2.92;2.3;H;0;0;1;1;0.28541157;;0.287404035;1;3;276;-276
F1;16.08.07;Nancy;Nice;2;1;H;1.9;2.87;4.75;;;;1.91;2.98;4.33;H;0;0;1;1;0.484961136;;0.480296291;1;3;275;-275
F1;18.08.07;Auxerre;Caen;1;0;H;1.72;3.1;5;;;;1.85;3.08;4.39;H;0;0;1;1;0.526637673;;0.494544763;1;3;273;-273
F1;18.08.07;Le Mans;Lille;1;1;D;2;2.9;3.8;;;;2.18;2.93;3.41;H;0;0;0;1;0.451269451;;0.419582152;0;1;273;-273
F1;18.08.07;Lorient;Lyon;2;1;H;5;3.1;1.72;;;;4.54;3.18;1.8;H;0;0;1;1;0.18116336;;0.20202448;1;3;273;-273
F1;18.08.07;Metz;Paris SG;0;0;D;2.7;2.87;2.6;;;;2.87;2.88;2.51;H;0;0;0;1;0.335657415;;0.318475996;0;1;273;-273
F1;18.08.07;Sochaux;Monaco;0;3;A;2.1;2.9;3.5;;;;2.26;2.92;3.23;H;0;0;0;1;0.430267062;;0.404258785;-3;0;273;-273
F1;18.08.07;St Etienne;Bordeaux;0;0;D;2.15;2.9;3.4;;;;2.26;2.94;3.22;H;0;0;0;1;0.421277505;;0.404764755;0;1;273;-273
F1;18.08.07;Toulouse;Strasbourg;1;3;A;1.75;3.1;4.75;;;;1.77;3.2;4.61;H;0;0;0;1;0.517347387;;0.516242822;-2;0;273;-273
F1;19.08.07;Lens;Valenciennes;0;0;D;1.7;3.1;5.25;;;;1.69;3.28;5.03;H;0;0;0;1;0.534131933;;0.540181977;0;1;272;-272
F1;19.08.07;Marseille;Nancy;2;2;D;1.6;3.3;5.5;;;;1.6;3.38;5.7;H;0;0;0;1;0.563139932;;0.570101201;0;1;272;-272
F1;19.08.07;Nice;Rennes;1;1;D;2.2;2.87;3.25;;;;2.32;2.88;3.14;H;0;0;0;1;0.40925345;;0.393018566;0;1;272;-272
F1;25.08.07;Bordeaux;Lorient;2;2;D;1.83;3;4.33;;;;1.82;3.09;4.49;H;0;0;0;1;0.491972777;;0.501418519;0;1;266;-266
F1;25.08.07;Caen;Marseille;1;2;A;3.4;2.87;2.3;;;;3.24;2.89;2.26;H;0;0;0;1;0.273005501;;0.281314876;-1;0;266;-266
F1;25.08.07;Monaco;Le Mans;3;1;H;1.9;3;4;;;;1.94;3.01;4.01;H;0;0;1;1;0.4743083;;0.469856631;2;3;266;-266
F1;25.08.07;Nancy;Auxerre;4;1;H;1.9;3;4;;;;1.91;3.02;4.15;H;0;0;1;1;0.4743083;;0.477853567;3;3;266;-266
