Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
F1;21.08.20;Bordeaux;Nantes;0;0;D;2.4;3;3.25;2.62;2.87;3.1;2.47;2.95;3.25;H;0;0;0;1;0.393939394;0.362574577;0.385016967;0;1;275;-275
F1;22.08.20;Dijon;Angers;0;1;A;2.7;3.1;2.8;3.25;3.1;2.35;2.73;3.07;2.77;H;0;0;0;1;0.352702154;0.291429143;0.347849029;-1;0;274;-274
F1;22.08.20;Lille;Rennes;1;1;D;2.3;3.2;3.3;1.85;3.4;4.2;2.27;3.18;3.36;H;1;0;0;1;0.413955312;0.50388144;0.418509553;0;1;274;-274
F1;23.08.20;Monaco;Reims;2;2;D;1.9;3.4;4.33;1.85;3.4;4.33;1.92;3.45;4.16;H;0;0;0;1;0.500595056;0.507261607;0.495525356;0;1;273;-273
F1;23.08.20;Lorient;Strasbourg;3;1;H;2.5;3.2;3;2.4;3.1;3.1;2.56;3.13;2.91;H;0;0;1;1;0.38247012;0.392405063;0.37069762;2;3;273;-273
F1;23.08.20;Nimes;Brest;4;0;H;2.3;3.2;3.3;2.25;3.2;3.4;2.24;3.32;3.27;H;0;0;1;1;0.413955312;0.422852701;0.423780155;4;3;273;-273
F1;23.08.20;Nice;Lens;2;1;H;2;3.3;4;2;3.3;3.9;2.02;3.34;3.88;H;0;0;1;1;0.474820144;0.471947195;0.470497684;1;3;273;-273
F1;28.08.20;Lyon;Dijon;4;1;H;1.28;5.75;9;1.25;5.5;12;1.3;5.41;10.01;H;0;0;1;1;0.732691491;0.751066856;0.729838639;3;3;268;-268
F1;29.08.20;Rennes;Montpellier;2;1;H;2;3.3;3.8;1.8;3.5;4.5;2.04;3.28;3.9;H;0;0;1;1;0.468960359;0.52238806;0.46619435;1;3;267;-267
F1;29.08.20;Strasbourg;Nice;0;2;A;2.2;3.3;3.3;2.05;3.5;3.5;2.23;3.31;3.31;H;0;0;0;1;0.428571429;0.460526316;0.425997426;-2;0;267;-267
F1;30.08.20;Reims;Lille;0;1;A;3;3.1;2.45;3.1;2.9;2.6;3.03;3;2.56;H;0;0;0;1;0.313260466;0.306628711;0.313126865;-1;0;266;-266
F1;30.08.20;Angers;Bordeaux;0;2;A;2.25;3.1;3.4;2.2;3;3.75;2.28;3.1;3.44;H;0;0;0;1;0.418835684;0.431034483;0.416966436;-2;0;266;-266
F1;30.08.20;Metz;Monaco;0;1;A;3.75;3.4;2;4;3.6;1.9;3.74;3.48;2.01;H;0;0;0;1;0.251386322;0.237170596;0.254103184;-1;0;266;-266
F1;30.08.20;Nantes;Nimes;2;1;H;1.95;3.2;4.2;1.83;3.4;4.75;1.96;3.25;4.28;H;0;0;1;1;0.482238967;0.519886044;0.48519645;1;3;266;-266
