Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
E0;11.08.07;Aston Villa;Liverpool;1;2;A;4;3.25;1.9;;;;3.67;3.23;1.95;H;0;0;0;1;0.230625584;;0.248863057;-1;0;274;-274
E0;11.08.07;Bolton;Newcastle;1;3;A;2.5;3.2;2.75;;;;2.41;3.18;2.8;H;0;0;0;1;0.371700106;;0.381886961;-2;0;274;-274
E0;11.08.07;Derby;Portsmouth;2;2;D;2.8;3.25;2.4;;;;2.85;3.19;2.38;H;0;0;0;1;0.33022862;;0.32353079;0;1;274;-274
E0;11.08.07;Everton;Wigan;2;1;H;1.66;3.4;5.5;;;;1.66;3.45;5.25;H;0;0;1;1;0.558642529;;0.556374695;1;3;274;-274
E0;11.08.07;Middlesbrough;Blackburn;1;2;A;2.37;3.25;2.87;;;;2.41;3.18;2.81;H;0;0;0;1;0.391387174;;0.38233419;-1;0;274;-274
E0;11.08.07;Sunderland;Tottenham;1;0;H;3.4;3.25;2.1;;;;3.18;3.21;2.18;H;0;0;1;1;0.272836298;;0.289908029;1;3;274;-274
E0;11.08.07;West Ham;Man City;0;2;A;2;3.2;3.75;;;;2.05;3.2;3.52;H;0;0;0;1;0.463320463;;0.449840256;-2;0;274;-274
E0;12.08.07;Arsenal;Fulham;2;1;H;1.33;4.5;10;;;;1.32;4.49;9.4;H;0;0;1;1;0.700007778;;0.697149691;1;3;273;-273
E0;12.08.07;Chelsea;Birmingham;3;2;H;1.2;6;13;;;;1.19;5.74;13.52;H;0;0;1;1;0.773809524;;0.77200117;1;3;273;-273
E0;12.08.07;Man United;Reading;0;0;D;1.22;5.5;13;;;;1.23;5.26;12.24;H;1;0;0;1;0.760072287;;0.749439513;0;1;273;-273
E0;14.08.07;Tottenham;Everton;1;3;A;1.8;3.4;4.33;;;;1.82;3.3;4.34;H;0;0;0;1;0.514108116;;0.50739014;-2;0;271;-271
