Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
E0;09.08.19;Liverpool;Norwich;4;1;H;1.14;10;19;1.14;9.5;21;1.14;8.75;19.83;H;1;0;1;1;0.851788756;0.851581509;0.841910743;3;3;320;-320
E0;10.08.19;West Ham;Man City;0;5;A;12;6.5;1.22;12;7;1.25;11.84;6.28;1.25;H;0;0;0;1;0.078850552;0.081206497;0.080923497;-5;0;319;-319
E0;10.08.19;Bournemouth;Sheffield United;1;1;D;1.95;3.6;3.6;1.95;3.7;4.2;2.01;3.53;3.83;H;0;0;0;1;0.48;0.502181289;0.477507196;0;1;319;-319
E0;10.08.19;Burnley;Southampton;3;0;H;2.62;3.2;2.75;2.7;3.25;2.9;2.68;3.22;2.78;H;0;0;1;1;0.360818402;0.362082213;0.357611978;3;3;319;-319
E0;10.08.19;Crystal Palace;Everton;0;0;D;3;3.25;2.37;3.4;3.5;2.25;3.13;3.27;2.4;H;0;0;0;1;0.313587786;0.287146764;0.306621189;0;1;319;-319
E0;10.08.19;Watford;Brighton;0;3;A;1.9;3.4;4;2.1;3.25;4.2;1.94;3.41;4.26;H;0;0;0;1;0.491684743;0.465949821;0.493994505;-3;0;319;-319
E0;10.08.19;Tottenham;Aston Villa;3;1;H;1.3;5.25;10;1.36;5.5;9;1.3;5.53;10.51;H;0;0;1;1;0.72589008;0.71511124;0.735958051;2;3;319;-319
E0;11.08.19;Leicester;Wolves;0;0;D;2.2;3.2;3.4;2.4;3.25;3.3;2.22;3.28;3.48;H;0;0;0;1;0.428346457;0.405558707;0.432010173;0;1;318;-318
E0;11.08.19;Newcastle;Arsenal;0;1;A;4.5;3.75;1.72;3.4;3.6;2.2;4.49;3.82;1.79;H;0;0;0;1;0.207629165;0.286541245;0.213503108;-1;0;318;-318
E0;11.08.19;Man United;Chelsea;4;0;H;2.1;3.3;3.5;2.05;3.5;4;2.19;3.32;3.49;H;0;0;1;1;0.447154472;0.476595745;0.437226186;4;3;318;-318
