Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
I1;25.08.07;Juventus;Livorno;5;1;H;1.33;4.33;10;;;;1.33;4.31;9.27;H;0;0;1;1;0.694367604;;0.688677603;4;3;267;-267
I1;25.08.07;Lazio;Torino;2;2;D;1.72;3.3;5;;;;1.75;3.23;4.75;H;0;0;0;1;0.536132051;;0.52350081;0;1;267;-267
I1;26.08.07;Fiorentina;Empoli;3;1;H;1.5;3.6;7.5;;;;1.51;3.52;6.87;H;0;0;1;1;0.618556701;;0.606511451;2;3;266;-266
I1;26.08.07;Genoa;Milan;0;3;A;6;3.4;1.61;;;;5.6;3.34;1.64;H;0;0;0;1;0.154049643;;0.164169084;-3;0;266;-266
I1;26.08.07;Inter;Udinese;1;1;D;1.28;4.75;11;;;;1.26;4.77;11.09;H;1;0;0;1;0.721585416;;0.725812228;0;1;266;-266
I1;26.08.07;Napoli;Cagliari;0;2;A;1.9;3;4.5;;;;1.87;3.09;4.38;H;0;0;0;1;0.486486486;;0.492097254;-2;0;266;-266
I1;26.08.07;Palermo;Roma;0;2;A;2.87;3;2.3;;;;3.04;3.05;2.3;H;0;0;0;1;0.31206187;;0.301344559;-2;0;266;-266
I1;26.08.07;Parma;Catania;2;2;D;1.8;3.1;5;;;;1.82;3.12;4.54;H;0;0;0;1;0.515292553;;0.503977798;0;1;266;-266
I1;26.08.07;Reggina;Atalanta;1;1;D;2.37;2.87;3.25;;;;2.34;2.96;3.08;H;0;0;0;1;0.391387174;;0.392113684;0;1;266;-266
I1;26.08.07;Siena;Sampdoria;1;2;A;2.6;2.87;2.87;;;;2.6;2.92;2.76;H;0;0;0;1;0.355638166;;0.353052499;-1;0;266;-266
I1;01.09.07;Empoli;Inter;0;2;A;7.5;3.6;1.5;;;;6.81;3.54;1.52;H;0;0;0;1;0.12371134;;0.135062275;-2;0;260;-260
I1;02.09.07;Atalanta;Parma;2;0;H;2.05;3;4;;;;2.07;2.97;3.68;H;0;0;1;1;0.45540797;;0.442581727;2;3;259;-259
I1;02.09.07;Cagliari;Juventus;2;3;A;6;3.2;1.66;;;;5.41;3.27;1.67;H;0;0;0;1;0.154096078;;0.169665355;-1;0;259;-259
I1;02.09.07;Catania;Genoa;0;0;D;2.3;3.1;3.1;;;;2.26;3.04;3.15;H;0;0;0;1;0.402597403;;0.406358475;0;1;259;-259
I1;02.09.07;Livorno;Palermo;2;4;A;3.25;3;2.3;;;;2.96;2.95;2.42;H;0;0;0;1;0.286010363;;0.309930451;-2;0;259;-259
I1;02.09.07;Roma;Siena;3;0;H;1.22;5;17;;;;1.23;5.09;12.08;H;0;0;1;1;0.760014306;;0.744340323;3;3;259;-259
I1;02.09.07;Sampdoria;Lazio;0;0;D;2.2;3;3.4;;;;2.21;3.02;3.25;H;0;0;0;1;0.420098847;;0.414630128;0;1;259;-259
I1;02.09.07;Torino;Reggina;2;2;D;1.83;3.1;4.75;;;;1.79;3.11;4.7;H;0;0;0;1;0.506178993;;0.511139319;0;1;259;-259
I1;02.09.07;Udinese;Napoli;0;5;A;1.72;3.3;5;;;;1.76;3.2;4.85;H;0;0;0;1;0.536132051;;0.522770143;-5;0;259;-259
I1;03.09.07;Milan;Fiorentina;1;1;D;1.57;3.4;7;;;;1.55;3.47;6.55;H;0;0;0;1;0.593102073;;0.594061606;0;1;258;-258
I1;15.09.07;Lazio;Empoli;0;0;D;1.61;3.4;6.5;;;;1.6;3.38;5.94;H;0;0;0;1;0.580982676;;0.573811348;0;1;246;-246
I1;15.09.07;Siena;Milan;1;1;D;7.5;3.8;1.5;;;;6.82;3.54;1.51;H;0;0;0;1;0.125412541;;0.134352442;0;1;246;-246
I1;16.09.07;Fiorentina;Atalanta;2;2;D;1.5;3.8;7.5;;;;1.51;3.5;6.86;H;0;0;0;1;0.627062706;;0.605493574;0;1;245;-245
I1;16.09.07;Genoa;Livorno;1;1;D;1.95;3;4.5;;;;1.89;3.06;4.21;H;0;0;0;1;0.48;;0.483891687;0;1;245;-245
