Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
I1;24.08.19;Parma;Juventus;0;1;A;9;5.25;1.33;8.5;5;1.33;10.41;5.13;1.31;H;0;0;0;1;0.105471848;0.109999173;0.091109493;-1;0;337;-337
I1;24.08.19;Fiorentina;Napoli;3;4;A;4.75;3.75;1.72;4.33;3.6;1.83;4.73;3.67;1.76;H;0;0;0;1;0.198874586;0.218871159;0.200951371;-1;0;337;-337
I1;25.08.19;Udinese;Milan;1;0;H;3.75;3.3;2.05;4;3.4;1.95;3.8;3.31;2.06;H;0;0;1;1;0.25216662;0.236532287;0.250457307;1;3;336;-336
I1;25.08.19;Cagliari;Brescia;0;1;A;1.83;3.6;4.33;1.75;3.6;4.75;1.82;3.6;4.45;H;0;0;0;1;0.517875475;0.539219551;0.522317499;-1;0;336;-336
I1;25.08.19;Roma;Genoa;3;3;D;1.45;4.2;8;1.7;3.75;5;1.49;4.21;7.13;H;0;0;0;1;0.65509846;0.557620818;0.639838086;0;1;336;-336
I1;25.08.19;Sampdoria;Lazio;0;3;A;3.5;3.4;2.05;3.6;3.4;2.05;3.53;3.35;2.13;H;0;0;0;1;0.267613745;0.26212862;0.26946854;-3;0;336;-336
I1;25.08.19;Spal;Atalanta;2;3;A;4.75;3.75;1.72;5;3.8;1.66;4.89;3.61;1.76;H;0;0;0;1;0.198874586;0.187693406;0.194818615;-1;0;336;-336
I1;25.08.19;Torino;Sassuolo;2;1;H;1.85;3.5;4.33;1.85;3.5;4.33;1.89;3.46;4.32;H;0;0;1;1;0.511293669;0.511293669;0.504097614;1;3;336;-336
I1;25.08.19;Verona;Bologna;1;1;D;3.4;3.2;2.25;4;3.4;2;3.39;3.18;2.27;H;0;0;0;1;0.279828993;0.23943662;0.280943874;0;1;336;-336
I1;26.08.19;Inter;Lecce;4;0;H;1.22;6.25;13;1.22;6;13;1.23;6.1;13.23;H;0;0;1;1;0.775767413;0.770903341;0.772433477;4;3;335;-335
I1;30.08.19;Bologna;Spal;1;0;H;1.8;3.5;4.6;1.75;3.5;4.75;1.84;3.5;4.65;H;0;0;1;1;0.524771838;0.535211268;0.520450257;1;3;331;-331
I1;31.08.19;Milan;Brescia;1;0;H;1.44;4.33;8;1.55;3.9;6.5;1.48;4.18;7.48;H;0;0;1;1;0.661129264;0.611285266;0.644359811;1;3;330;-330
I1;31.08.19;Juventus;Napoli;4;3;H;1.95;3.4;4.2;2;3.4;4;1.98;3.35;4.13;H;1;0;1;1;0.490721649;0.478873239;0.482983603;1;3;330;-330
I1;01.09.19;Lazio;Roma;1;1;D;2.15;3.6;3.3;2;3.6;3.6;2.14;3.63;3.29;H;0;0;0;1;0.444693992;0.473684211;0.446431041;0;1;329;-329
I1;01.09.19;Atalanta;Torino;2;3;A;1.57;4;5.75;1.57;4;5.5;1.61;4.08;5.54;H;0;0;0;1;0.600404621;0.5959637;0.593393784;-1;0;329;-329
I1;01.09.19;Cagliari;Inter;1;2;A;5.5;3.75;1.66;5.5;4;1.57;5.43;3.9;1.65;H;0;0;0;1;0.173012785;0.170120547;0.175956688;-1;0;329;-329
I1;01.09.19;Genoa;Fiorentina;2;1;H;2.62;3.3;2.75;2.8;3.4;2.45;2.56;3.47;2.71;H;0;0;1;1;0.36407767;0.337110482;0.372800254;1;3;329;-329
I1;01.09.19;Lecce;Verona;0;1;A;1.95;3.5;3.8;1.95;3.5;4;1.92;3.59;4.05;H;0;0;0;1;0.483021609;0.489082969;0.497786588;-1;0;329;-329
I1;01.09.19;Sassuolo;Sampdoria;4;1;H;2.25;3.4;3.2;2.25;3.4;3.2;2.27;3.49;3.12;H;0;0;1;1;0.422852701;0.422852701;0.420522525;3;3;329;-329
I1;01.09.19;Udinese;Parma;1;3;A;2.05;3.4;3.75;1.85;3.3;4.33;2.03;3.32;3.95;H;0;0;0;1;0.465201131;0.503054094;0.470506349;-2;0;329;-329
I1;14.09.19;Fiorentina;Juventus;0;0;D;4.75;3.8;1.72;4.5;3.6;1.83;5;3.88;1.7;H;0;0;0;1;0.199535963;0.212358573;0.191210575;0;1;316;-316
I1;14.09.19;Napoli;Sampdoria;2;0;H;1.25;6.5;10;1.3;5.75;9.5;1.27;6.19;9.85;H;0;0;1;1;0.759124088;0.733713902;0.749566953;2;3;316;-316
I1;14.09.19;Inter;Udinese;1;0;H;1.33;5.25;9;1.33;5;10;1.33;5.29;9.27;H;0;0;1;1;0.71371927;0.714796283;0.716901719;1;3;316;-316
I1;15.09.19;Genoa;Atalanta;1;2;A;3.4;3.8;2;3.5;3.75;2.05;3.34;3.75;2.08;H;0;0;0;1;0.27818448;0.274676195;0.286005529;-1;0;315;-315
I1;15.09.19;Brescia;Bologna;3;4;A;3;3.3;2.4;3.6;3.5;2;3.04;3.29;2.41;H;0;0;0;1;0.316546763;0.26119403;0.313930055;-1;0;315;-315
I1;15.09.19;Parma;Cagliari;1;3;A;2.25;3.25;3.3;2.1;3.3;3.6;2.28;3.25;3.3;H;0;0;0;1;0.421207658;0.450511945;0.417981995;-2;0;315;-315
I1;15.09.19;Spal;Lazio;2;1;H;6;4;1.57;6;4;1.57;5.55;4.07;1.61;H;0;0;1;1;0.158186398;0.158186398;0.172092119;1;3;315;-315
I1;15.09.19;Roma;Sassuolo;4;2;H;1.65;4.2;4.75;1.55;4.33;5.5;1.69;4.13;4.73;H;0;0;1;1;0.574638151;0.60983573;0.566092795;2;3;315;-315
I1;15.09.19;Verona;Milan;0;1;A;5.5;3.8;1.61;4.75;3.5;1.75;5.62;3.72;1.67;H;0;0;0;1;0.170546093;0.197183099;0.170183157;-1;0;315;-315
I1;16.09.19;Torino;Lecce;1;2;A;1.5;4.33;6.5;1.4;4.5;8;1.5;4.31;6.82;H;0;0;0;1;0.634039198;0.672897196;0.637767633;-1;0;314;-314
